Survey_feedback,sentiment_label,Very Poisitve,Poisitve But Critical,Neutral,Negative,Very Negative
I was very impressed with my overall stay.  I have stayed at this site 6-10 times over 20 years and everything seems even better than 20 years ago.  Way to go!,Positive,v,,,,
"My room was very nice; however, it was TOO HOT!  And unfortunately, the thermostats in the room don't really change the temperature - apparently.  We asked if someone could adjust it but I didn't notice a difference so we ended up sleeping with the sliding door open to get some cooler air.  Everything else was great!",Negative,,v,,,
The morning breakfast out in the general area resonated into room (plates clanging).,Positive,,,,v,
there was no toilet paper in room except the last little bit of a role and had to call at 2am for more and also the water bottle in our room was already drank out of or refilled not sure. i hope our room was cleaned before we came.,Positive,,,,v,
"First class property, excellent service, very clean and well-maintained rooms!",Positive,,,,,
"Lindsay, Carrie, and Emma are always great to work with when I need to make reservations or a room request.  They are very prompt to respond and friendly to work with.",Positive,,,,,
No parking in lot during late check in - confusion by front desk as to validating parking pass from across the street or not. Was told I could not have a 1 hour additional late check out because of hotel availability. Two floor lamps sitting in corner of sleeping area with no place to plug them in. Bathrooms extremely small.,Positive,,,,,
"The staff was amazing. Our water person (sorry, I cannot remember her name) remembered us from breakfast the previous day (we had the buffet) and asked my boys if they wanted apple juice like yesterday. She was so nice and checked in on us often. In fact, the chef making omelettes came around to ask everyone how they were doing. Had the most amazing omelette both days. Loved the games (connect 4, bean bag toss, checkers and golf) in the lobby. Had a great time there with the family. Amazing pool, hot tub and sauna. Wonderful temperatures. We'll definitely come back again!",Positive,,,,,
"There is no way to keep a continuous fan running in the room, so the outside noise was distracting.",Negative,,,,,
"Room was great, except bathroom was not as clean as it could have been.  Window faced a busy street which was kind of noisy.  Everything else was perfect.",Positive,,,,,
Pillows were all too soft for my liking.  I like Tempur Pedic type pillows.  Room air conditioning did not cool sufficiently.  Staff was courteous enough to provide a fan.  We were in room 521.,Positive,,,,,
"Great front desk staff, friendly & professional - remembered my prefs",Positive,,,,,
Really enjoyed my stay.,Positive,,,,,
"Had someone asked us about our stay when we checked out, we wouldn't need to write these details in the survey. When maintenance came to the room to show us how to get the TV to a channel (besides snow), we were told to follow the directions on the sheet (channel listed was pointed to). TV in bedroom needed some other set up that included more than what was on the channel list sheet. When we tried to get to HBO, we entered the channel on the list and the list was incorrect, so we couldn't find HBO.
When we were watching the Badger game and ordering dinner at Pub 333, the bartender dealt with a customer in an unfriendly way, the situation escalated and security was called. When the swearing and yelling started, my daughter left and went into the bathroom until the customer paid and left. This all happened before any security arrived.  My daughters chicken pot pie was not fully cooked and was left mostly uneaten (we received 5.00 off the bill).
At 2:15am, the lobby area became so loud that it woke us on the 6th floor.
My husband was told he couldn't enter the breakfast area with only socks (even if it was just to sit and not eat), so he went up to the room. The next group of customers to the breakfast area included someone who was barefoot and they were allowed to enter.  When I inquired about the different treatment, I was told they brought slippers out for the other customer. 
I was surprised at how many issues we had to deal with in such a short period of time. We are very disappointed in our stay. The rude maintenance person, the escalated scene at Pub 333, noise at bar time and the inconsistency with shoes at breakfast were extremely disappointing.",Negative,,,,,
"Very nice room and stay. Only two complaints I would have:
1. The original price stated when I booked the reservation said the room would be $132 with taxes and everything included. It ended up automatically charging my card $157. If there was a fee change that should have been disclosed prior.
2. The hotel bar is supposed to be open until 2:00am (and the hours are posted that way). We walked down there at 1:00am and were told that it was closed and we could not order even though we still had a whole hour before it was supposed to be closed. No explanation was included either. This is very unprofessional.",Negative,,,,,
